id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6400,The Studio Milan,13822,Francesca,,TIBALDI,45.44119,9.17813,Private room,100,4,12,2010-04-19,0.13,1,358,0,
23986,""" Characteristic Milanese flat""",95941,Jeremy,,NAVIGLI,45.44806,9.17373,Entire home/apt,150,1,15,2020-09-07,0.20,1,361,0,
28300,nice flat near the park,121663,Marta,,SARPI,45.47647,9.17359,Private room,180,1,8,2012-04-22,0.11,1,365,0,
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,119002,Giancarlo,,BUENOS AIRES - VENEZIA,45.46884,9.20777,Private room,55,2,34,2019-05-13,0.47,2,0,0,
40470,Giacinto Cosy & clean flat near MM1,174203,Giacinto,,VIALE MONZA,45.52023,9.22747,Entire home/apt,75,3,37,2017-07-24,0.32,2,232,0,
42732,Darsena Design district RESERVABLE FOR MAX 15 DAYS,186608,Francesco,,MAGENTA - S. VITTORE,45.45814,9.17654,Entire home/apt,220,2,15,2018-04-22,0.20,1,362,1,
46536,Nico & Cinzia's Pink Suite!,138683,Nico&Cinzia,,VIALE MONZA,45.52276,9.22478,Entire home/apt,76,2,27,2018-07-03,0.22,1,232,1,
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,246217,Cristina,,BUENOS AIRES - VENEZIA,45.48096,9.21686,Entire home/apt,145,3,2,2016-04-16,0.03,1,365,0,
59226,Near Piazza Gae Aulenti silent e reserved flat,244087,Francesca,,CENTRALE,45.48201,9.19809,Entire home/apt,100,2,7,2011-02-03,0.06,1,85,0,
65142,Very Nice Luxury Apt Central Milan,318394,Angelo,,CENTRALE,45.48027,9.20247,Entire home/apt,53,20,353,2018-09-03,3.02,1,173,0,
74835,Amazin attic in front of the castle,157872,Augusto,,DUOMO,45.46968,9.17862,Entire home/apt,280,7,3,2017-04-09,0.03,1,0,0,
76671,"Charming Attic, You Will Love It",409538,Valentina,,TICINESE,45.4563,9.17642,Entire home/apt,80,3,3,2021-09-10,0.02,1,196,1,
77958,BRERA  LOVELY WHITE BOAT STUDIO 2,387110,Silvia,,BRERA,45.4701,9.19275,Entire home/apt,100,2,70,2019-02-23,0.57,2,37,0,
79696,Special loft Navigli/Bocconi/Duomo,429570,Cristina,,TICINESE,45.44892,9.18005,Entire home/apt,90,2,45,2018-06-28,0.61,4,78,0,
82227,Your green oasis in Milan's center.,447162,Michele,,WASHINGTON,45.46389,9.16357,Entire home/apt,100,3,7,2021-09-27,0.09,1,345,1,
