id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2737,"Elif's room in cozy, clean flat.",3047,Elif,,VIII Appia Antica,41.87136,12.48215,Private room,26,7,7,2015-04-12,0.08,5,365,0,
2903,Stay a night in Calisto6 B&B Rome,3280,Andrea,,I Centro Storico,41.88824,12.46953,Private room,86,1,55,2013-05-28,0.57,3,357,0,
3079,Cozy apartment  (2-4)with Colisseum  view,3504,Laura,,I Centro Storico,41.895,12.49117,Entire home/apt,100,5,19,2018-04-30,0.51,7,330,2,
11834,"Roma ""Charming Boschetto House""",44552,Serena,,I Centro Storico,41.8965,12.49211,Entire home/apt,90,2,142,2019-07-04,1.31,1,340,0,
12398,Casa Donatello - Home far from Home,11756,Gea,,II Parioli/Nomentano,41.92582,12.46928,Entire home/apt,63,1,43,2020-11-22,10.57,2,151,4,
14181,Beautiful apt close to the Vatican,51913,Ivan,,I Centro Storico,41.91353,12.4537,Private room,187,7,28,2011-09-20,0.27,1,88,0,
15409,VATICAN SAN PIETRO 5min From Vatican,60352,Manuel,,XIII Aurelia,41.89699,12.44808,Entire home/apt,100,2,2,2015-03-23,0.02,3,365,0,
16276,B&B Calisto6 great location in Rome,3280,Andrea,,I Centro Storico,41.89007,12.47122,Private room,86,1,6,2015-06-18,0.05,3,363,0,
19965,*BRIGHT IN FRONT OF THE VATICAN CITY TWO BDR*,75450,Sasa,,I Centro Storico,41.9073,12.45349,Entire home/apt,70,3,61,2021-07-21,0.72,9,295,6,
19967,A 5 MIN A PIEDI P.ZZA S. PIETRO 2 CAMERE LUMINOSO,75450,Sasa,,I Centro Storico,41.9092,12.45344,Entire home/apt,68,3,32,2019-09-10,0.44,9,293,1,
20534,Trastevere - Cedro 1 Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,110,3,45,2019-09-11,0.39,5,354,0,
20587,Trastevere - Cedro 4 Apartment (2 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,170,3,59,2020-03-07,0.60,5,329,1,
20606,"Your own home in St. Peter, Rome",77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,146,2,71,2020-10-21,0.71,3,286,2,
20699,Vintage Suite w/ Private Bath & AC,78287,Frank & Soledad,,I Centro Storico,41.89294,12.50581,Private room,68,1,404,2021-09-13,4.23,8,327,14,
21193,BLUE DOUBLE ROOM WITH TERRACE,80755,Marianna,,I Centro Storico,41.91029,12.44703,Private room,70,2,14,2019-11-12,0.14,4,351,0,
21249,"B&B 830, 10 min. from everything! - ROME",81015,Emanuele,,VII San Giovanni/Cinecittà,41.86287,12.54784,Private room,45,3,107,2017-07-02,0.93,10,194,0,
21811,PRETTY FLAT IN TRASTEVERE,5232802,Coan,,I Centro Storico,41.89084,12.46804,Entire home/apt,97,3,191,2020-01-10,1.46,13,51,0,
22335,4  Apartments in Navona square (unit 1),85707,Elena,,I Centro Storico,41.89939,12.46711,Entire home/apt,52,1,135,2021-06-19,1.97,4,318,25,
22395,VERY COOL FLAT IN ST. PETER,5232802,Coan,,I Centro Storico,41.90428,12.4629,Entire home/apt,111,3,26,2018-07-15,0.21,13,26,1,
22573,Splendido loft con pezzi di design nel cuore del Pigneto,86882,Francesco,,V Prenestino/Centocelle,41.89078,12.52634,Entire home/apt,70,28,101,2020-08-31,1.19,1,240,1,
22930,Trastevere - Cedro 3 Apartment (1 Bedroom),77540,Sabrina,,I Centro Storico,41.88992,12.46823,Entire home/apt,110,3,64,2019-09-15,0.50,5,341,0,
23803,Charming flat in Trastevere,5232802,Coan,,I Centro Storico,41.88958,12.4678,Entire home/apt,97,3,227,2019-09-23,2.12,13,47,3,
24557,Mini apartment with garden & wifi,86053,Els,,XIV Monte Mario,41.91114,12.41477,Entire home/apt,73,2,324,2019-06-25,2.39,1,364,0,
25875,Your holiday next to St. Peter,77932,Giovanna,,XIII Aurelia,41.89689,12.45695,Entire home/apt,529,4,34,2019-01-02,0.35,3,90,0,
26957,Calisto6 B&B in the heart of Rome,3280,Andrea,,I Centro Storico,41.88857,12.47148,Private room,71,1,14,2018-05-22,6.18,3,349,2,
27816,*Rome CAMPO de FIORI Lovely Romantic Studio*,119186,Primarosa M.Rita,,I Centro Storico,41.89549,12.4721,Entire home/apt,68,2,135,2019-10-08,1.20,3,8,0,
29606,"At 2 steps from TRASTEVERE, YOUR HOME in ROME",127506,Pino,,XII Monte Verde,41.87839,12.45176,Entire home/apt,80,3,143,2019-09-22,1.18,1,332,6,
29902,Villa Lauretana for families/friend,128832,Loredana,,IX Eur,41.78628,12.53519,Entire home/apt,90,4,12,2017-06-30,0.14,1,364,1,
30887,Monti small flat nearby Colosseum private bathroom,132622,Mirela & Marco,,I Centro Storico,41.89637,12.49746,Entire home/apt,72,3,50,2019-05-29,0.64,3,365,0,
31058,WellnessInnRome Shortlet 2 people,133372,Emanuela,,I Centro Storico,41.90876,12.50134,Private room,65,2,69,2018-10-10,0.78,5,122,4,
31102,Rome cheap small cozy confy room,133321,Tiziana,,V Prenestino/Centocelle,41.87894,12.54117,Private room,14,3,169,2019-05-07,2.17,1,68,0,
31430,IRIS - 12 MIN TO COLOSSEO BY METRO,135012,Angiola,,II Parioli/Nomentano,41.93152,12.51622,Private room,40,2,369,2019-09-27,3.03,3,99,0,
31464,Warm Apartment with a Hi-Fi Stereo and Quaint Balcony,135112,Mario,,IV Tiburtina,41.9149,12.54632,Private room,106,2,391,2019-09-12,3.23,1,30,0,
34050,Fantastic Short Term Rental apto,146909,Vincenzo,,VIII Appia Antica,41.86726,12.49047,Entire home/apt,65,3,63,2017-04-20,0.70,1,362,1,
36223,da nonna maria b&b near center,155546,Micaela,,II Parioli/Nomentano,41.91106,12.51972,Private room,45,2,35,2015-07-19,0.26,2,358,0,
37054,Anna Home at Roman Forum,160020,Lorenzo,,I Centro Storico,41.89484,12.48758,Entire home/apt,52,2,506,2021-10-09,3.98,8,252,13,
37305,Casa Pariolina - Suite The Romantic,161114,Carla,,II Parioli/Nomentano,41.92135,12.48847,Private room,99,1,20,2019-09-29,0.24,3,340,0,
37307,Casa Pariolina-Suite Villa Borghese,161114,Carla,,II Parioli/Nomentano,41.9233,12.48857,Entire home/apt,100,1,29,2016-10-23,0.32,3,358,4,
42829,*COLOSEUM Front* Opera Theater Apt*,119186,Primarosa M.Rita,,I Centro Storico,41.900211,12.496002,Entire home/apt,70,3,35,2018-09-17,0.58,3,353,0,
43912,Beautiful countryside villa - Rome,192075,Rita,,XV Cassia/Flaminia,42.05602,12.48512,Entire home/apt,95,3,8,2021-07-28,0.16,1,364,3,
44442,In the very heart of Old Rome,195040,Hanen,,I Centro Storico,41.89431,12.47246,Entire home/apt,120,4,247,2020-02-29,2.16,3,109,0,
46669,Sotto il cielo di Roma B&B (Sole),205102,Antonio,,VIII Appia Antica,41.85238,12.47241,Private room,60,1,2,2019-05-16,0.05,2,357,0,
47149,A due passi da San Pietro da Simona,212374,Simona,,XII Monte Verde,41.88057,12.4593,Private room,82,3,147,2018-10-07,1.44,2,253,0,
47213,Sotto il cielo di Roma B&B (Luna),205102,Antonio,,VIII Appia Antica,41.85248,12.47427,Private room,55,1,4,2013-03-16,0.04,2,355,0,
48807,The House of Colors !!!,147227,Irene,,V Prenestino/Centocelle,41.88659,12.53166,Entire home/apt,52,2,160,2020-09-27,1.41,1,252,2,14382
49206,A Due Passi Da Trastevere,212374,Simona,,XII Monte Verde,41.87936,12.45777,Private room,45,2,220,2019-09-17,2.00,2,253,0,
49240,PANTHEON CHARMING ACCOMODATION,224479,Ermanno,,I Centro Storico,41.89738,12.476,Entire home/apt,72,2,29,2021-07-21,0.28,3,131,6,
50333,Bright&Cosy Penthouse Overlooking St. Peter's Dome,230736,Sita Alessandra,,I Centro Storico,41.91321,12.45482,Entire home/apt,95,3,91,2021-07-18,1.06,3,156,4,
50385,Tiny but Special Studio apartment!,231096,Laura,,V Prenestino/Centocelle,41.88882,12.5253,Entire home/apt,42,1,98,2017-10-25,0.89,2,283,1,
50471,Cozy bright Loft in Trastevere,231637,Lavinia,,XII Monte Verde,41.882,12.4673,Entire home/apt,91,1,280,2021-09-19,2.83,1,237,17,
52465,roma centro storico,242549,Laura,,I Centro Storico,41.8966,12.49851,Private room,60,3,0,,,1,365,0,
52805,CasaMastro,244775,Francesco,,I Centro Storico,41.88897,12.51402,Entire home/apt,92,2,155,2019-09-14,1.30,2,337,5,
53203,"Sanniti apartment, San Lorenzo stylish top floor",247495,Gabriele,,II Parioli/Nomentano,41.89805,12.51563,Entire home/apt,80,3,95,2019-06-13,0.96,1,138,0,
53322,Roma Campo de fiori Studio Gio,248295,Tom,,I Centro Storico,41.89585,12.47333,Entire home/apt,110,3,150,2021-09-11,1.62,11,163,8,
53325,Roma STUDIO BLU- CAMPO DE FIORI,248295,Tom,,I Centro Storico,41.89476,12.47379,Entire home/apt,119,3,163,2021-09-27,1.79,11,168,8,
53670,Cozy and quiet  flat  few blocks bytheColisseum,3504,Laura,,I Centro Storico,41.89515,12.4906,Entire home/apt,100,4,38,2016-09-17,0.30,7,344,2,
53844,Gorgeous studio Monti area 4 blocks bytheColisseum,3504,Laura,,I Centro Storico,41.89709,12.48907,Entire home/apt,100,2,41,2020-01-06,0.45,7,284,0,
54991,la Casetta di Tiziana near the imperial Rome,259007,Tiziana,,VII San Giovanni/Cinecittà,41.87568,12.50485,Entire home/apt,51,2,205,2019-10-04,1.59,1,310,0,
55710,Luxury and Elegant Apartment near St. Peter,263254,Andrea E Carlotta,,XIII Aurelia,41.89723,12.45127,Entire home/apt,142,2,405,2021-07-15,3.21,4,213,8,CVN-000270-6
55834,VIOLET wellnessinnrome,133372,Emanuela,,I Centro Storico,41.90911,12.49988,Private room,94,3,1,2012-09-28,0.01,5,323,0,
56801,"ForMyFriends B&B 2 - Rome, Vatican",269706,Matilde,,I Centro Storico,41.91082,12.45602,Private room,122,2,11,2015-04-14,0.14,2,179,0,
