id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6623,Venice Blue on Canal apartment,15016,Francesca,Isole,San Polo,45.43817,12.32739,Entire home/apt,225,3,163,2019-06-26,1.52,3,364,1,
6624,Venice garden charme and canal view!,15016,Francesca,Isole,Santa Croce,45.43977,12.32736,Entire home/apt,213,4,64,2016-07-17,0.66,3,357,0,
12074,Venice home to relax and emotions,15016,Francesca,Isole,San Polo,45.43896,12.3297,Entire home/apt,122,4,186,2021-10-20,1.52,3,351,2,
27116,Junior Suite with balcony overlooking canal,116144,Giò&Giò,Isole,San Marco,45.43277,12.33456,Private room,193,1,412,2021-10-16,3.29,2,201,2,
44527,Historical Luxury Apartment on Calm Sunny Canal,120215,Marc & Elisabeth,Isole,Cannaregio,45.44569,12.32902,Entire home/apt,280,2,81,2021-08-24,1.42,1,289,9,
47383,Ca' Barba B&B: room n102 (jacuzzi shower),214390,Alessandro,Isole,San Polo,45.43921,12.3331,Hotel room,62,2,288,2021-07-11,2.30,4,345,14,
47549,Ca' Barba Apartment,215652,Caterina E Alessandro,Isole,Dorsoduro,45.43593,12.32521,Entire home/apt,136,2,145,2020-01-18,1.19,2,0,0,
49656,Ca' Foscari Apartment,226598,Andrea,Isole,Dorsoduro,45.43549,12.32612,Entire home/apt,86,3,84,2021-09-02,0.97,2,348,10,
56687,Waterfront Charm in Central Venice,268967,Renato,Isole,Cannaregio,45.44374,12.32949,Entire home/apt,150,3,47,2018-12-30,0.49,1,89,0,
60007,Apartament alla Fenice a Venezia,288678,Furio,Isole,San Marco,45.43502,12.33372,Entire home/apt,89,1,159,2020-09-30,1.30,1,111,0,
60020,Bed and Breakfast Venice.it,288785,Nicola,Isole,Cannaregio,45.44229,12.3304,Hotel room,42,2,44,2019-09-01,0.66,2,317,1,
